QID90_1,QID90_2,QID90_3,Q22_1,Q92_1,Q92_2,Q92_3,Q100_1,Q100_2,Q61,Q20,Age,Gender,Household_size,Q28,bed,empa,Q92_2r,maskePo
3,3,3,5,4,1,5,3,3,1,1,38.00,2,2.00,Kartoffeln,0.00,3.00,5.00,4.50
1,2,1,5,5,3,5,3,3,1,1,18.00,1,4.00,Speckknödel,1.00,1.33,3.00,4.00
3,3,5,5,3,3,5,2,3,2,1,33.00,1,2.00,Auflauf,0.00,3.67,3.00,3.00
3,3,3,5,4,3,5,4,4,2,1,31.00,2,2.00,Salat,1.00,3.00,3.00,3.50
2,2,2,3,3,2,5,3,4,2,1,40.00,1,2.00,Nudeln,0.00,2.00,4.00,3.50
4,4,4,4,3,1,5,1,3,2,1,28.00,1,2.00,Ei,2.00,4.00,5.00,4.00
4,3,5,3,3,2,5,3,4,2,1,39.00,1,1.00,Lachs Kartoffelgratin,2.00,4.00,4.00,3.50
3,2,3,5,5,1,5,2,3,2,1,21.00,1,4.00,Reis,1.00,2.67,5.00,5.00
4,3,3,3,4,2,5,3,3,2,1,19.00,2,5.00,Nudeln mit Soße,2.00,3.33,4.00,4.00
1,1,1,5,5,1,5,2,3,2,1,25.00,1,3.00,Pizza,1.00,1.00,5.00,5.00
3,4,5,3,3,4,5,3,3,1,1,35.00,2,2.00,Fladenbrot,1.00,4.00,2.00,2.50
1,1,1,4,5,1,5,3,3,2,1,25.00,2,2.00,Brot,0.00,1.00,5.00,5.00
5,4,4,5,4,1,5,5,4,1,1,34.00,1,3.00,Steak,2.00,4.33,5.00,4.50
1,1,1,2,2,4,5,3,3,2,1,40.00,2,1.00,Brötchen,1.00,1.00,2.00,2.00
3,4,3,3,3,1,5,3,4,2,1,45.00,1,2.00,Spiegeleibrot,2.00,3.33,5.00,4.00
2,2,1,2,1,4,5,2,3,2,1,35.00,1,2.00,curry Wurst Pommes,2.00,1.67,2.00,1.50
5,5,5,4,3,1,5,3,3,2,1,26.00,2,2.00,Pizza,2.00,5.00,5.00,4.00
3,3,3,2,3,2,5,2,4,1,1,33.00,1,2.00,nichts,0.00,3.00,4.00,3.50
3,2,3,4,3,4,5,2,2,2,1,45.00,1,3.00,Brötchen mit käse,0.00,2.67,2.00,2.50
1,2,1,5,4,3,5,4,2,1,1,38.00,2,1.00,Käsegnocchi,0.00,1.33,3.00,3.50
1,1,1,3,3,1,5,3,3,2,1,38.00,2,1.00,Blättergeigtasche,1.00,1.00,5.00,4.00
4,3,4,4,4,2,5,2,3,2,1,19.00,1,4.00,Nudeln,2.00,3.67,4.00,4.00
3,3,2,5,4,1,5,4,4,1,1,54.00,2,1.00,überbackene Kartoffeln,1.00,2.67,5.00,4.50
4,4,4,4,5,1,5,3,4,2,1,43.00,1,2.00,Gemüsesuppe,2.00,4.00,5.00,5.00
1,1,1,4,5,1,5,3,3,1,1,40.00,2,4.00,Kartoffeln,1.00,1.00,5.00,5.00
3,3,3,4,3,3,5,3,3,1,1,43.00,1,4.00,Schweinebratten mit Knödeln,1.00,3.00,3.00,3.00
1,1,1,3,3,3,5,3,3,1,1,52.00,2,2.00,Straßburger Auflauf,1.00,1.00,3.00,3.00
1,1,1,2,2,5,5,3,3,2,1,44.00,1,1.00,Hühnersuppe,0.00,1.00,1.00,1.50
3,3,3,5,5,1,5,4,4,1,1,58.00,1,1.00,Bauernfrühstück,0.00,3.00,5.00,5.00
1,3,3,4,2,1,5,1,3,2,1,30.00,1,2.00,Nudeln,0.00,2.33,5.00,3.50
3,2,2,5,5,1,5,4,4,1,1,52.00,2,1.00,Eine Stulle mit Bierschinken. Was ist BOTS?,2.00,2.33,5.00,5.00
2,1,1,1,1,5,5,1,3,2,1,18.00,1,3.00,Nudeln,1.00,1.33,1.00,1.00
1,1,1,5,5,1,5,4,4,2,1,36.00,2,4.00,Reis,0.00,1.00,5.00,5.00
1,5,5,3,3,3,5,3,4,1,1,18.00,1,5.00,Fleich,1.00,3.67,3.00,3.00
3,3,3,4,4,3,5,2,3,2,1,27.00,2,6.00,Brot mit Ei,1.00,3.00,3.00,3.50
5,5,5,4,3,2,5,2,3,2,1,24.00,1,4.00,Lasagne,2.00,5.00,4.00,3.50
1,3,3,2,1,2,5,2,3,2,1,21.00,1,1.00,Kartoffeln mit Fleisch,0.00,2.33,4.00,2.50
4,4,4,4,5,1,5,2,3,2,1,37.00,2,2.00,Salat,2.00,4.00,5.00,5.00
4,2,5,3,2,3,5,2,3,2,1,26.00,2,1.00,Kartoffeln mit Hähnchen,2.00,3.67,3.00,2.50
2,2,2,1,1,5,5,1,2,2,1,37.00,1,1.00,Fleisch,2.00,2.00,1.00,1.00
4,3,4,4,4,4,5,2,5,2,1,39.00,1,5.00,Müsli,2.00,3.67,2.00,3.00
3,3,3,1,1,5,5,1,1,1,1,54.00,1,3.00,Nix,1.00,3.00,1.00,1.00
1,1,1,3,3,1,5,3,3,1,1,50.00,1,1.00,Spaghettis mit Würstchen und Soße,0.00,1.00,5.00,4.00
5,2,3,4,4,2,5,2,4,2,1,40.00,1,4.00,Lasagne,2.00,3.33,4.00,4.00
3,3,3,4,5,1,5,3,4,2,1,38.00,1,4.00,Nudeln,1.00,3.00,5.00,5.00
5,5,5,3,4,1,5,3,3,2,1,25.00,2,1.00,Toast,2.00,5.00,5.00,4.50
3,3,4,5,5,1,5,3,4,2,1,28.00,2,3.00,suppe,1.00,3.33,5.00,5.00
1,1,1,2,1,4,5,2,3,2,1,26.00,1,4.00,Nudel,0.00,1.00,2.00,1.50
5,3,4,2,2,2,5,2,3,2,1,30.00,1,1.00,Spargel mit Butter,2.00,4.00,4.00,3.00
3,3,3,5,5,1,5,4,4,2,1,29.00,2,3.00,Nudeln,1.00,3.00,5.00,5.00
4,5,4,5,4,2,5,3,4,2,1,42.00,1,3.00,Burger,1.00,4.33,4.00,4.00
1,2,2,3,2,3,5,3,4,2,1,26.00,2,1.00,Pfannkuchen,0.00,1.67,3.00,2.50
4,3,4,5,5,1,5,2,4,2,1,23.00,2,5.00,Gnocchi,0.00,3.67,5.00,5.00
4,4,3,4,4,1,5,3,5,2,1,32.00,1,2.00,Toastbrot,1.00,3.67,5.00,4.50
2,2,3,4,4,2,5,2,3,2,1,46.00,1,2.00,Nichts,1.00,2.33,4.00,4.00
3,4,3,1,1,5,5,2,3,2,1,25.00,1,2.00,Kartoffeln,2.00,3.33,1.00,1.00
4,3,3,2,1,3,5,3,4,2,1,25.00,1,1.00,Bockwurst,2.00,3.33,3.00,2.00
2,2,2,4,3,4,5,3,3,1,1,46.00,1,2.00,Nudeln,0.00,2.00,2.00,2.50
3,3,3,5,5,1,5,3,4,2,1,27.00,1,5.00,Lachs,1.00,3.00,5.00,5.00
3,2,3,3,3,3,5,2,3,1,1,23.00,1,2.00,Reis,0.00,2.67,3.00,3.00
5,5,5,5,5,1,5,3,3,2,1,55.00,2,2.00,Pasta mit buntem Salat,2.00,5.00,5.00,5.00
1,1,1,3,2,4,5,3,3,2,1,35.00,1,5.00,Pfannkuchen mit Marmelade.,0.00,1.00,2.00,2.00
2,2,2,5,1,1,5,2,3,2,1,21.00,1,4.00,Schnitzel,1.00,2.00,5.00,3.00
3,3,3,5,5,1,5,5,3,1,1,33.00,1,6.00,Braten,0.00,3.00,5.00,5.00
4,3,3,3,2,4,5,3,4,2,1,37.00,1,1.00,Sushi,2.00,3.33,2.00,2.00
4,4,3,4,4,3,5,2,3,2,1,32.00,1,1.00,Pizza,2.00,3.67,3.00,3.50
3,2,2,5,5,2,5,2,4,2,1,20.00,2,3.00,Pizza,1.00,2.33,4.00,4.50
5,4,5,5,5,1,5,3,4,1,1,23.00,1,5.00,Bohnensuppe mit Wurst,2.00,4.67,5.00,5.00
2,2,2,4,5,2,5,2,2,2,1,25.00,1,5.00,Lachs mit Nudeln in Käse Sahnesoße,1.00,2.00,4.00,4.50
3,3,3,2,2,4,5,2,3,2,1,38.00,1,3.00,Nudeln,1.00,3.00,2.00,2.00
1,3,1,4,3,2,5,3,3,2,1,30.00,1,2.00,Spaghetti mit Pesto,0.00,1.67,4.00,3.50
3,3,3,4,3,1,5,3,3,2,1,46.00,1,1.00,Salat,0.00,3.00,5.00,4.00
2,2,2,4,4,2,5,2,3,2,1,33.00,1,4.00,Birnen mit Bohnen und Speck,0.00,2.00,4.00,4.00
1,1,1,5,2,1,5,4,3,1,1,44.00,1,3.00,Spaghetti,0.00,1.00,5.00,3.50
3,3,3,1,1,3,5,3,3,1,1,60.00,1,2.00,Kartoffeln,2.00,3.00,3.00,2.00
1,1,1,1,1,4,5,2,3,1,1,27.00,1,2.00,Salat,0.00,1.00,2.00,1.50
1,1,1,5,5,1,5,3,3,2,1,33.00,2,2.00,Nudeln,1.00,1.00,5.00,5.00
3,3,3,5,5,2,5,2,3,2,1,21.00,2,2.00,Pizza,1.00,3.00,4.00,4.50
4,3,3,4,3,3,5,2,3,2,1,31.00,2,3.00,Ofengemüse,2.00,3.33,3.00,3.00
3,3,3,1,1,5,5,2,3,2,1,29.00,1,4.00,Salat,1.00,3.00,1.00,1.00
2,2,2,5,5,2,5,3,4,2,1,41.00,1,4.00,Salat,1.00,2.00,4.00,4.50
5,5,5,5,5,5,5,4,4,2,1,31.00,1,3.00,Käse,2.00,5.00,1.00,3.00
1,1,1,5,4,2,5,2,4,2,1,33.00,2,2.00,Reste vom Wochenende,0.00,1.00,4.00,4.00
4,2,2,5,5,5,5,2,3,2,1,45.00,1,1.00,Vollkornbrot mit Hühnersalami und Putenfleischwurst,2.00,2.67,1.00,3.00
1,1,1,5,5,1,5,3,3,1,1,55.00,1,2.00,Pommes,1.00,1.00,5.00,5.00
5,4,5,5,1,3,5,4,3,1,1,19.00,#NULL!,2.00,Lauchsuppe,1.00,4.67,3.00,2.00
4,2,3,5,5,3,5,3,4,2,1,19.00,1,3.00,Brot,2.00,3.00,3.00,4.00
4,4,4,5,5,1,5,4,5,1,1,38.00,2,2.00,pizza,2.00,4.00,5.00,5.00
4,4,4,3,4,1,5,3,3,2,1,37.00,1,2.00,Brot,0.00,4.00,5.00,4.50
4,4,3,5,5,2,5,2,3,2,1,20.00,1,4.00,Birne,2.00,3.67,4.00,4.50
1,1,1,2,2,2,5,2,3,2,1,31.00,1,3.00,Nudeln,1.00,1.00,4.00,3.00
2,2,2,3,3,2,5,3,4,2,1,29.00,2,1.00,Lasagne,0.00,2.00,4.00,3.50
2,2,1,4,4,1,5,4,3,1,1,61.00,2,2.00,Nudeln,0.00,1.67,5.00,4.50
1,1,1,3,3,1,5,3,3,2,1,35.00,2,4.00,"Brote mit Marmelade und Eszetschnitten, dazu eine Tasse Milch",0.00,1.00,5.00,4.00
2,2,2,3,2,4,5,2,3,1,1,20.00,2,4.00,Brezel,1.00,2.00,2.00,2.00
1,1,1,4,5,1,5,2,4,2,1,26.00,2,3.00,Haferflocken,0.00,1.00,5.00,5.00
5,5,5,5,5,1,5,3,5,2,1,27.00,2,1.00,Nudeln,2.00,5.00,5.00,5.00
1,1,1,4,3,1,5,3,3,1,1,59.00,1,1.00,Schnitzel,0.00,1.00,5.00,4.00
5,5,1,4,3,3,5,3,3,1,1,53.00,1,2.00,Maultaschen,0.00,3.67,3.00,3.00
2,1,3,4,4,2,5,2,3,2,1,23.00,1,4.00,Nudeln,1.00,2.00,4.00,4.00
5,5,5,5,4,2,5,2,3,1,1,34.00,1,5.00,Magerquark mit Früchten,2.00,5.00,4.00,4.00
2,2,2,4,4,1,5,3,3,1,1,37.00,2,4.00,Hamburger,0.00,2.00,5.00,4.50
5,4,4,5,5,1,5,3,4,2,1,45.00,1,3.00,Nudeln,2.00,4.33,5.00,5.00
2,2,3,5,5,1,5,3,4,2,1,18.00,1,6.00,Nudeln,1.00,2.33,5.00,5.00
1,1,1,5,5,1,5,3,3,1,1,57.00,2,1.00,Spaghetti,1.00,1.00,5.00,5.00
4,4,4,3,5,2,5,3,3,2,1,27.00,2,2.00,Brot,2.00,4.00,4.00,4.50
4,5,5,4,4,1,5,3,3,1,1,53.00,1,2.00,Bratwurst mit Kartoffelsalat,2.00,4.67,5.00,4.50
1,1,1,1,1,5,5,1,2,2,1,53.00,1,1.00,fisch,0.00,1.00,1.00,1.00
1,1,1,2,2,4,5,3,3,2,1,44.00,1,3.00,Nudeln,1.00,1.00,2.00,2.00
3,3,4,2,3,3,5,3,4,1,1,35.00,1,3.00,Pommes,1.00,3.33,3.00,3.00
5,5,5,1,1,4,5,1,3,2,1,30.00,2,4.00,Nichts,2.00,5.00,2.00,1.50
3,3,3,5,5,1,5,3,4,2,1,38.00,2,3.00,Nichts,0.00,3.00,5.00,5.00
4,4,4,4,3,1,5,4,4,1,1,46.00,2,1.00,ein belegtes Brot,2.00,4.00,5.00,4.00
1,1,1,5,5,2,5,3,3,2,1,34.00,1,2.00,Brot,0.00,1.00,4.00,4.50
1,1,2,2,1,2,5,3,3,2,1,22.00,2,1.00,Käse-Schinken-Brötchen,1.00,1.33,4.00,2.50
3,2,2,3,5,2,5,4,4,2,1,18.00,1,5.00,Pizza,0.00,2.33,4.00,4.50
5,5,5,5,5,1,5,4,4,2,1,37.00,1,4.00,Spaghetti,2.00,5.00,5.00,5.00
1,1,1,4,2,1,5,1,3,2,1,22.00,1,3.00,Döner,0.00,1.00,5.00,3.50
4,4,4,4,4,2,5,3,4,1,1,57.00,1,2.00,Brötchen,2.00,4.00,4.00,4.00
1,1,1,5,5,1,5,4,4,2,1,39.00,#NULL!,2.00,Brot,1.00,1.00,5.00,5.00
3,3,4,3,2,2,5,2,3,2,1,19.00,1,11.00,Nudeln,1.00,3.33,4.00,3.00
1,1,1,3,1,4,5,2,3,2,1,42.00,1,2.00,Gulasch mit Reis,0.00,1.00,2.00,1.50
1,1,1,1,1,5,5,1,2,1,1,32.00,1,1.00,Kartoffeln,1.00,1.00,1.00,1.00
5,5,5,5,5,1,5,2,3,2,1,19.00,2,2.00,Burger,2.00,5.00,5.00,5.00
2,2,2,5,5,1,5,2,4,2,1,41.00,2,3.00,Lasagne,0.00,2.00,5.00,5.00
5,5,5,5,5,1,5,3,3,2,1,45.00,2,1.00,Gemüsesuppe,2.00,5.00,5.00,5.00
1,1,1,3,3,2,5,4,3,2,1,31.00,2,2.00,Kartoffeleintopf,1.00,1.00,4.00,3.50
3,3,3,3,4,3,5,3,3,2,1,20.00,1,3.00,Auflauf,0.00,3.00,3.00,3.50
3,3,3,4,5,2,5,3,3,1,1,18.00,1,2.00,Tagliatelle mit Lachs,1.00,3.00,4.00,4.50
2,2,2,3,3,2,5,3,3,2,1,35.00,2,1.00,Spiegelei,0.00,2.00,4.00,3.50
5,4,4,5,5,1,5,3,3,1,1,64.00,1,2.00,Steak,2.00,4.33,5.00,5.00
1,1,1,3,4,3,5,2,4,2,1,36.00,2,4.00,Bauernfrühstück,1.00,1.00,3.00,3.50
5,5,5,5,5,2,5,4,4,2,1,54.00,2,2.00,Hähnchen,2.00,5.00,4.00,4.50
1,2,2,3,2,2,5,3,3,1,1,53.00,1,2.00,Fisch,0.00,1.67,4.00,3.00
1,1,1,3,1,3,5,2,3,2,1,23.00,2,7.00,Nudelsuppe,1.00,1.00,3.00,2.00
1,1,1,5,5,1,5,3,4,1,1,46.00,2,4.00,Nudeln,1.00,1.00,5.00,5.00
3,3,3,3,3,3,5,3,3,2,1,60.00,1,2.00,nudeln,1.00,3.00,3.00,3.00
5,5,5,5,4,1,5,5,5,1,1,57.00,1,2.00,Gemüse,2.00,5.00,5.00,4.50
1,2,2,3,3,2,5,4,4,1,1,49.00,1,2.00,Nudeln,0.00,1.67,4.00,3.50
3,4,4,5,5,1,5,3,3,1,1,51.00,1,4.00,Brot,2.00,3.67,5.00,5.00
1,1,1,5,5,1,5,5,3,1,1,30.00,2,2.00,Nudeln mit Tomatensoße,0.00,1.00,5.00,5.00
5,4,5,5,5,1,5,4,3,1,1,33.00,1,1.00,Nudeln,2.00,4.67,5.00,5.00
3,3,3,5,5,1,5,3,4,2,1,35.00,2,3.00,Nudeln,1.00,3.00,5.00,5.00
1,2,1,5,5,1,5,3,3,2,1,22.00,1,1.00,Nudeln,0.00,1.33,5.00,5.00
1,1,1,5,5,1,5,3,3,1,1,55.00,1,1.00,Gemischten Salat,0.00,1.00,5.00,5.00
3,2,2,5,5,2,5,3,3,1,1,51.00,1,3.00,Nudeln,0.00,2.33,4.00,4.50
5,5,5,4,5,1,5,3,4,2,1,22.00,1,2.00,Nudeln,2.00,5.00,5.00,5.00
1,1,1,5,5,1,5,2,3,2,1,29.00,2,1.00,Kötbullar,1.00,1.00,5.00,5.00
2,1,2,4,4,1,5,4,4,2,1,42.00,1,4.00,Würstchengulasch,0.00,1.67,5.00,4.50
3,3,3,5,5,1,5,2,4,2,1,28.00,2,3.00,Knödel,1.00,3.00,5.00,5.00
4,3,4,4,4,4,5,1,1,2,1,20.00,1,3.00,Sushi,2.00,3.67,2.00,3.00
3,3,3,4,3,3,5,4,4,2,1,38.00,2,1.00,Salat,1.00,3.00,3.00,3.00
5,5,5,5,5,1,5,2,3,1,1,59.00,2,4.00,Bratwürste,2.00,5.00,5.00,5.00
5,5,5,4,3,1,5,3,4,2,1,28.00,2,1.00,Erdbeeren :D,2.00,5.00,5.00,4.00
1,1,1,1,1,5,5,1,3,2,1,18.00,1,4.00,Fisch mit Kartoffeln,2.00,1.00,1.00,1.00
3,2,2,4,4,3,5,2,2,1,1,57.00,2,2.00,nichts,0.00,2.33,3.00,3.50
3,3,3,5,5,1,5,2,4,2,1,40.00,1,4.00,Kartoffelsalat,0.00,3.00,5.00,5.00
1,1,1,5,5,1,5,4,3,1,1,38.00,2,2.00,Fisch,1.00,1.00,5.00,5.00
1,1,1,4,3,1,5,3,4,2,1,44.00,1,3.00,Nudeln,1.00,1.00,5.00,4.00
2,2,2,5,5,1,5,3,3,2,1,28.00,2,3.00,Nudeln,0.00,2.00,5.00,5.00
2,3,4,5,5,1,5,3,4,2,1,37.00,1,2.00,Pasta,0.00,3.00,5.00,5.00
5,4,4,4,3,2,5,2,3,2,1,31.00,2,3.00,Reis,2.00,4.33,4.00,3.50
1,1,1,5,4,2,5,2,4,2,1,29.00,2,3.00,Spaghetti,1.00,1.00,4.00,4.00
4,3,3,5,4,1,5,3,4,1,1,36.00,2,2.00,Rindsrouladen,0.00,3.33,5.00,4.50
3,1,3,5,3,3,5,4,4,2,1,24.00,1,3.00,Nudeln Bolognese,2.00,2.33,3.00,3.00
1,2,2,4,4,1,5,4,3,1,1,56.00,1,1.00,Suppe,1.00,1.67,5.00,4.50
3,3,3,4,3,2,5,2,3,2,1,33.00,2,4.00,Nudeln,0.00,3.00,4.00,3.50
1,1,1,2,1,5,5,2,2,2,1,41.00,1,1.00,Gebackene Bohnen in Tomatensosse,2.00,1.00,1.00,1.00
5,5,5,4,5,1,5,3,4,2,1,29.00,1,4.00,Spaghetti,2.00,5.00,5.00,5.00
1,1,1,3,4,1,5,2,3,2,1,21.00,2,2.00,Pizza,1.00,1.00,5.00,4.50
5,5,5,5,5,1,5,3,3,1,1,42.00,2,2.00,belegtes brötchen,2.00,5.00,5.00,5.00
5,5,5,5,4,1,5,3,4,2,1,27.00,1,1.00,Burger,2.00,5.00,5.00,4.50
3,3,3,4,3,3,5,3,3,2,1,42.00,1,1.00,Bananen,0.00,3.00,3.00,3.00
3,3,3,2,4,3,5,3,4,2,1,32.00,1,2.00,Salamie Pizza,1.00,3.00,3.00,3.50
1,1,1,5,5,1,5,3,3,1,1,45.00,2,2.00,Salat,1.00,1.00,5.00,5.00
3,5,3,5,5,1,5,3,4,1,1,27.00,1,3.00,Nudeln mit Pilzsauce,0.00,3.67,5.00,5.00
3,3,3,2,2,3,5,4,3,1,1,31.00,1,2.00,Brot mit Salami,1.00,3.00,3.00,2.50
3,3,3,4,4,4,5,2,2,2,1,33.00,2,4.00,Nudeln,1.00,3.00,2.00,3.00
4,5,4,4,5,2,5,2,3,2,1,20.00,2,2.00,Pommes,2.00,4.33,4.00,4.50
1,1,1,5,3,1,5,2,2,2,1,31.00,1,4.00,Gestern habe ich Spargel mit Schinken und Kartoffeln zu Mittag gegessen.,0.00,1.00,5.00,4.00
2,2,2,5,5,1,5,3,4,2,1,46.00,1,4.00,Nudeln,0.00,2.00,5.00,5.00
1,2,1,4,3,1,5,3,4,1,1,30.00,2,1.00,Huhn,0.00,1.33,5.00,4.00
3,3,3,4,3,2,5,3,3,1,1,56.00,1,1.00,Fisch,1.00,3.00,4.00,3.50
4,4,5,4,5,2,5,2,4,2,1,42.00,1,1.00,Ravioli,2.00,4.33,4.00,4.50
1,1,2,5,5,1,5,4,2,1,1,27.00,2,1.00,Toast mit Käse,1.00,1.33,5.00,5.00
3,3,3,5,5,2,5,3,3,2,1,52.00,1,3.00,Pizza,1.00,3.00,4.00,4.50
3,3,3,4,5,1,5,3,3,2,1,28.00,1,2.00,Salat,2.00,3.00,5.00,5.00
3,2,2,3,3,2,5,3,3,2,1,28.00,1,5.00,Spargel,0.00,2.33,4.00,3.50
1,1,1,3,3,5,5,2,3,1,1,49.00,1,2.00,Gefüllte Pizza,0.00,1.00,1.00,2.00
3,3,3,4,5,2,5,3,3,2,1,25.00,1,1.00,Pizza,1.00,3.00,4.00,4.50
5,5,5,5,5,3,5,3,3,2,1,22.00,2,2.00,nichts,2.00,5.00,3.00,4.00
2,2,2,4,4,3,5,2,4,2,1,25.00,1,1.00,Nudeln,1.00,2.00,3.00,3.50
5,5,5,5,5,2,5,4,4,2,1,26.00,1,2.00,Ravioli,2.00,5.00,4.00,4.50
3,3,3,2,1,5,5,3,3,2,1,37.00,2,4.00,Salat,2.00,3.00,1.00,1.00
3,3,2,5,4,2,5,3,3,2,1,22.00,2,2.00,Gurke,1.00,2.67,4.00,4.00
4,3,4,3,2,4,5,1,2,1,1,52.00,1,2.00,Nichts muss sparen für schlechte Zeiten,1.00,3.67,2.00,2.00
4,3,4,4,5,1,5,4,3,1,1,26.00,2,3.00,Ich hatte Pizza zu Mittag,0.00,3.67,5.00,5.00
3,3,3,5,5,1,5,4,4,2,1,21.00,2,2.00,Reispfanne,0.00,3.00,5.00,5.00
5,5,5,4,4,2,5,2,3,1,1,50.00,2,4.00,Dampfnudeln,2.00,5.00,4.00,4.00
4,4,4,4,4,2,5,2,4,2,1,29.00,1,2.00,Fleisch,2.00,4.00,4.00,4.00
2,2,2,4,5,2,5,2,3,2,1,31.00,1,2.00,Pfannkuchen,0.00,2.00,4.00,4.50
5,1,5,5,5,1,5,3,4,2,1,23.00,1,2.00,Gyros mit Rais und Zarziki,2.00,3.67,5.00,5.00
2,3,3,3,3,3,5,3,4,2,1,20.00,1,1.00,Döner,1.00,2.67,3.00,3.00
1,1,1,5,5,1,5,3,3,1,1,24.00,1,1.00,Nudeln,1.00,1.00,5.00,5.00
4,4,3,4,4,1,5,3,3,2,1,47.00,2,4.00,Maultaschen,2.00,3.67,5.00,4.50
1,1,1,3,3,4,5,4,2,1,1,59.00,1,1.00,Käsebrot,0.00,1.00,2.00,2.50
4,4,4,4,3,4,5,1,3,2,1,47.00,1,2.00,Pizza Tonno mit Mozzarella-Tomaten-Salat,2.00,4.00,2.00,2.50
1,1,1,3,3,4,5,3,4,1,1,34.00,2,1.00,Fisch mit Nudelsalat,0.00,1.00,2.00,2.50
5,5,5,5,5,1,5,4,4,2,1,39.00,1,4.00,pizza und einen gemischten salat,2.00,5.00,5.00,5.00
4,2,3,4,3,4,5,2,3,1,1,19.00,2,3.00,Nudeln,2.00,3.00,2.00,2.50
3,3,3,4,3,1,5,3,3,2,1,39.00,1,1.00,Pizza,0.00,3.00,5.00,4.00
3,3,4,2,5,2,5,3,3,2,1,33.00,1,1.00,Reis und marinierter Herring:),1.00,3.33,4.00,4.50
3,3,3,3,4,1,5,3,3,2,1,26.00,2,3.00,Fisch und Kartoffeln,1.00,3.00,5.00,4.50
2,2,2,4,3,1,5,4,3,1,1,56.00,2,2.00,Milchreis,0.00,2.00,5.00,4.00
4,4,5,5,5,1,5,3,4,2,1,30.00,1,3.00,Leberkäse,2.00,4.33,5.00,5.00
2,3,4,3,4,2,5,4,4,2,1,34.00,2,4.00,Pommes,0.00,3.00,4.00,4.00
1,1,1,4,3,4,5,2,3,1,1,30.00,2,2.00,Gemüsereis,1.00,1.00,2.00,2.50
2,2,2,3,3,3,5,2,4,1,1,32.00,2,2.00,Kartoffeln,1.00,2.00,3.00,3.00
3,2,2,3,3,4,5,3,3,2,1,39.00,2,5.00,"Kartoffelbrei, Spiegelei",1.00,2.33,2.00,2.50
5,4,4,4,5,2,5,3,4,2,1,30.00,2,2.00,Buttermilch,2.00,4.33,4.00,4.50
4,4,4,4,5,3,5,2,3,2,1,30.00,2,2.00,Eiscreme,2.00,4.00,3.00,4.00
2,2,1,1,4,5,5,1,1,2,1,21.00,2,4.00,Suppe,1.00,1.67,1.00,2.50
2,2,3,5,5,1,5,4,4,1,1,59.00,1,3.00,Spätzle,0.00,2.33,5.00,5.00
4,4,4,4,4,1,5,4,3,1,1,60.00,1,2.00,Kartoffelsalat,2.00,4.00,5.00,4.50
3,2,3,4,3,2,5,3,3,2,1,48.00,1,2.00,Schnitzel mit Kartoffeln,2.00,2.67,4.00,3.50
3,3,3,4,4,5,5,2,3,1,1,54.00,2,1.00,spagetti,2.00,3.00,1.00,2.50
4,3,4,4,5,4,5,3,3,2,1,42.00,1,1.00,Pizta,2.00,3.67,2.00,3.50
1,4,4,5,3,2,5,5,4,1,1,57.00,2,1.00,Ich hatte einen frischen Salat mit gekochten Eiern und etwas Käse dazu,0.00,3.00,4.00,3.50
1,1,1,3,4,2,5,3,4,1,1,36.00,2,1.00,Kässpatzen,0.00,1.00,4.00,4.00
3,3,2,4,3,2,5,2,3,2,1,25.00,2,3.00,Eierkuchen,1.00,2.67,4.00,3.50
2,2,2,4,4,2,5,3,3,1,1,54.00,2,2.00,Salat,1.00,2.00,4.00,4.00
1,1,1,4,1,5,5,2,2,2,1,40.00,1,4.00,Pizza,1.00,1.00,1.00,1.00
1,1,1,1,1,1,5,1,1,2,1,26.00,1,2.00,Bier,2.00,1.00,5.00,3.00
1,1,1,5,5,1,5,1,2,2,1,35.00,1,2.00,Kuchen,1.00,1.00,5.00,5.00
5,1,5,5,5,2,5,3,3,2,1,30.00,2,3.00,Pasta,0.00,3.67,4.00,4.50
2,2,2,5,5,2,5,3,3,1,1,33.00,2,2.00,Nudeln,0.00,2.00,4.00,4.50
3,5,3,4,5,2,5,3,3,2,1,37.00,1,2.00,Dönerkebap mit Halloumi und Chili-Zeugs,0.00,3.67,4.00,4.50
5,4,2,5,5,1,5,3,4,2,1,46.00,2,1.00,Falafel,1.00,3.67,5.00,5.00
1,1,1,5,5,1,5,4,4,1,1,63.00,2,1.00,griech. Salat,1.00,1.00,5.00,5.00
1,2,2,2,1,4,5,2,3,1,1,39.00,1,2.00,kalte Pizza,0.00,1.67,2.00,1.50
5,5,5,4,5,2,5,4,4,1,1,50.00,1,1.00,Hühner-Reis-Eintopf,2.00,5.00,4.00,4.50
1,1,1,5,5,1,5,4,4,1,1,69.00,2,2.00,Einen gemischten Salat mit Schafskäse.,1.00,1.00,5.00,5.00
1,1,1,5,4,2,5,2,3,1,1,53.00,2,2.00,Spaghetti,1.00,1.00,4.00,4.00
5,5,5,5,5,1,5,5,4,1,1,59.00,1,2.00,Nudel,2.00,5.00,5.00,5.00
3,3,4,5,4,2,5,2,4,2,1,26.00,2,2.00,Pfannkuchen,0.00,3.33,4.00,4.00
3,3,4,5,5,1,5,5,5,1,1,57.00,2,2.00,Brot,0.00,3.33,5.00,5.00
3,3,4,5,4,2,5,2,2,2,1,39.00,1,4.00,Pommes,2.00,3.33,4.00,4.00
